target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
S1PR3,ENSG00000213694,1.0,0.0,0.0,1.0,0.0,0.0,0.013344444444444445,0.0,sphingosine-1-phosphate receptor 3
GRIN1,ENSG00000176884,1.0,0.0,0.0,1.0,0.0,0.0,0.0116,0.0,glutamate ionotropic receptor NMDA type subunit 1
SV2A,ENSG00000159164,1.0,0.0,0.0,1.0,0.0,0.0,0.0116,0.0,synaptic vesicle glycoprotein 2A
MC2R,ENSG00000185231,1.0,0.0,0.0,1.0,0.0,0.0,0.0112,0.0,melanocortin 2 receptor
GRIN2C,ENSG00000161509,1.0,0.0,0.0,1.0,0.0,0.0,0.010400000000000001,0.0,glutamate ionotropic receptor NMDA type subunit 2C
KCNQ1,ENSG00000053918,1.0,6.288756822755734e-05,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily Q member 1
ADRA2B,ENSG00000274286,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 2B
DHFR,ENSG00000228716,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dihydrofolate reductase
GABBR1,ENSG00000204681,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type B receptor subunit 1
GRIN3A,ENSG00000198785,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,glutamate ionotropic receptor NMDA type subunit 3A
SCN8A,ENSG00000196876,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 8
ADRB3,ENSG00000188778,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor beta 3
KCNQ5,ENSG00000185760,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily Q member 5
KCND2,ENSG00000184408,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily D member 2
ADRA2C,ENSG00000184160,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 2C
KCNQ3,ENSG00000184156,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily Q member 3
KCNH8,ENSG00000183960,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 8
SCN5A,ENSG00000183873,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 5
GRIN2A,ENSG00000183454,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,glutamate ionotropic receptor NMDA type subunit 2A
KCNB2,ENSG00000182674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily B member 2
KCNA4,ENSG00000182255,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 4
KCNG2,ENSG00000178342,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily G member 2
IMPDH2,ENSG00000178035,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inosine monophosphate dehydrogenase 2
KCNA2,ENSG00000177301,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 2
KCNH6,ENSG00000173826,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 6
CYSLTR1,ENSG00000173198,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,cysteinyl leukotriene receptor 1
ADRA1D,ENSG00000171873,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 1D
KCND3,ENSG00000171385,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily D member 3
KCNG3,ENSG00000171126,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily G member 3
KCNS3,ENSG00000170745,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily S member 3
ADRA1B,ENSG00000170214,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 1B
SCN9A,ENSG00000169432,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 9
KCNG4,ENSG00000168418,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily G member 4
SCN11A,ENSG00000168356,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 11
KCNV2,ENSG00000168263,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily V member 2
KCNC2,ENSG00000166006,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily C member 2
KCNV1,ENSG00000164794,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily V member 1
KCNF1,ENSG00000162975,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily F member 1
KCNB1,ENSG00000158445,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily B member 1
KCNS2,ENSG00000156486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily S member 2
SCN3A,ENSG00000153253,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 3
KCNA6,ENSG00000151079,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 6
ADRA2A,ENSG00000150594,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 2A
CACNA1B,ENSG00000148408,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,calcium voltage-gated channel subunit alpha1 B
SCN1A,ENSG00000144285,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 1
KCNH1,ENSG00000143473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 1
KCNA10,ENSG00000143105,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 10
SLC6A3,ENSG00000142319,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,solute carrier family 6 member 3
KCNH5,ENSG00000140015,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 5
MMP13,ENSG00000137745,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,matrix metallopeptidase 13
GABBR2,ENSG00000136928,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type B receptor subunit 2
SCN7A,ENSG00000136546,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 7
SCN2A,ENSG00000136531,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 2
KCNH3,ENSG00000135519,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 3
TOP2A,ENSG00000131747,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DNA topoisomerase II alpha
KCNC3,ENSG00000131398,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily C member 3
KCNA5,ENSG00000130037,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 5
KCNC1,ENSG00000129159,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily C member 1
S1PR4,ENSG00000125910,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sphingosine-1-phosphate receptor 4
KCNS1,ENSG00000124134,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily S member 1
ADRA1A,ENSG00000120907,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 1A
FAAH,ENSG00000117480,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fatty acid amide hydrolase
KCNQ4,ENSG00000117013,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily Q member 4
KCNC4,ENSG00000116396,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily C member 4
GRIN3B,ENSG00000116032,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,glutamate ionotropic receptor NMDA type subunit 3B
OPRM1,ENSG00000112038,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,opioid receptor mu 1
KCNA1,ENSG00000111262,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 1
IMPDH1,ENSG00000106348,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inosine monophosphate dehydrogenase 1
ATP4A,ENSG00000105675,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ATPase H+/K+ transporting subunit alpha
GRIN2D,ENSG00000105464,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,glutamate ionotropic receptor NMDA type subunit 2D
KCNA7,ENSG00000104848,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily A member 7
KCND1,ENSG00000102057,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily D member 1
KCNH4,ENSG00000089558,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 4
KEAP1,ENSG00000079999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,kelch like ECH associated protein 1
KCNQ2,ENSG00000075043,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily Q member 2
KCNH2,ENSG00000055118,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel subfamily H member 2
KCNG1,ENSG00000026559,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,potassium voltage-gated channel modifier subfamily G member 1
SCN4A,ENSG00000007314,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 4
HLA-DRA,ENSG00000204287,0.9925506648185619,0.9840480972240314,0.0,0.0,0.0,0.0,0.03405555555555556,0.0,"major histocompatibility complex, class II, DR alpha"
EOMES,ENSG00000163508,0.9755894768589073,0.9673755879700184,0.0,0.0,0.0,0.0,0.032855555555555555,0.0,eomesodermin
C5,ENSG00000106804,0.9718777777777777,0.0,0.0,0.9692777777777777,0.0,0.0,0.010400000000000001,0.0,complement C5
IL6ST,ENSG00000134352,0.9578336584123013,0.3230432756245136,0.0,0.875,0.0,0.0,0.018655555555555557,0.0,interleukin 6 signal transducer
TNFSF14,ENSG00000125735,0.9516752374966939,0.9253419041633606,0.0,0.1,0.0,0.0,0.012,0.0,TNF superfamily member 14
SLC6A2,ENSG00000103546,0.9301564783320736,0.0,0.0,0.9301564783320736,0.0,0.0,0.0,0.0,solute carrier family 6 member 2
IL6R,ENSG00000160712,0.9130222222222222,0.0,0.0,0.9034722222222222,0.0,0.0,0.038200000000000005,0.0,interleukin 6 receptor
ZPLD1,ENSG00000170044,0.8911983370780945,0.8911983370780945,0.0,0.0,0.0,0.0,0.0,0.0,zona pellucida like domain containing 1
SIGMAR1,ENSG00000147955,0.875,0.0,0.0,0.875,0.0,0.0,0.0,0.0,sigma non-opioid intracellular receptor 1
LRP2,ENSG00000081479,0.8632557048797608,0.8555057048797607,0.0,0.0,0.0,0.0,0.031000000000000003,0.0,LDL receptor related protein 2
JAZF1,ENSG00000153814,0.8529388308525085,0.8529388308525085,0.0,0.0,0.0,0.0,0.0,0.0,JAZF zinc finger 1
IL22RA2,ENSG00000164485,0.8462292590035333,0.835157036781311,0.0,0.0,0.0,0.0,0.04428888888888889,0.0,interleukin 22 receptor subunit alpha 2
MMEL1,ENSG00000142606,0.8424939967950186,0.8356439967950186,0.0,0.0,0.0,0.0,0.027400000000000004,0.0,membrane metalloendopeptidase like 1
CBLB,ENSG00000114423,0.8405492407552931,0.8271291851997375,0.0,0.0,0.0,0.0,0.053680222222222226,0.0,Cbl proto-oncogene B
STAT3,ENSG00000168610,0.8401791471105441,0.8281208955579333,0.0,0.0,0.0,0.0,0.04823300621044285,0.0,signal transducer and activator of transcription 3
ELMO1,ENSG00000155849,0.8341627270870491,0.8341627270870491,0.0,0.0,0.0,0.0,0.0,0.0,engulfment and cell motility 1
STAT4,ENSG00000138378,0.8340574843468872,0.8213547468185425,0.0,0.0,0.0,0.0,0.05081095011337869,0.0,signal transducer and activator of transcription 4
GPR65,ENSG00000140030,0.8120159449398517,0.8088159449398518,0.0,0.0,0.0,0.0,0.0128,0.0,G protein-coupled receptor 65
ESR1,ENSG00000091831,0.8100514603712171,4.7434320020910224e-05,0.0,0.7982777777777778,0.0,0.0,0.04707364845374806,0.0,estrogen receptor 1
GALC,ENSG00000054983,0.8090615096754498,0.8045753985643387,0.0,0.0,0.0,0.0,0.017944444444444447,0.0,galactosylceramidase
CYP24A1,ENSG00000019186,0.804253216064606,0.7926201224327087,0.0,0.0,0.0,0.0,0.046532374527588814,0.0,cytochrome P450 family 24 subfamily A member 1
MYC,ENSG00000136997,0.8028856086307101,0.7992842197418213,0.0,0.0,0.0,0.0,0.014405555555555557,0.0,"MYC proto-oncogene, bHLH transcription factor"
CMC1,ENSG00000187118,0.800489515480068,0.800489515480068,0.0,0.0,0.0,0.0,0.0,0.0,C-X9-C motif containing 1
ZC2HC1A,ENSG00000104427,0.7959198355674744,0.7959198355674744,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger C2HC-type containing 1A
IRF8,ENSG00000140968,0.7895434113781284,0.7766985893249512,0.0,0.0,0.0,0.0,0.051379288212709213,0.0,interferon regulatory factor 8
RNASEL,ENSG00000135828,0.7765925384521485,0.7739925384521484,0.0,0.0,0.0,0.0,0.010400000000000001,0.0,ribonuclease L
PDGFRB,ENSG00000113721,0.7748222222222223,0.0,0.0,0.7722222222222223,0.0,0.0,0.010400000000000001,0.0,platelet derived growth factor receptor beta
KIT,ENSG00000157404,0.7722222222222223,0.0,0.0,0.7722222222222223,0.0,0.0,0.0,0.0,"KIT proto-oncogene, receptor tyrosine kinase"
SLC6A4,ENSG00000108576,0.7722222222222223,0.0,0.0,0.7722222222222223,0.0,0.0,0.0,0.0,solute carrier family 6 member 4
CSF3R,ENSG00000119535,0.771361111111111,0.0,0.0,0.771361111111111,0.0,0.0,0.0,0.0,colony stimulating factor 3 receptor
HLA-F,ENSG00000204642,0.7680692672729492,0.7680692672729492,0.0,0.0,0.0,0.0,0.0,0.0,"major histocompatibility complex, class I, F"
ZNF438,ENSG00000183621,0.7674953937530518,0.7674953937530518,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger protein 438
IL12A,ENSG00000168811,0.7627036141395569,0.7549911141395569,0.0,0.0,0.0,0.0,0.030850000000000006,0.0,interleukin 12A
KIAA2026,ENSG00000183354,0.7575503140687943,0.7575503140687943,0.0,0.0,0.0,0.0,0.0,0.0,KIAA2026
PDGFRA,ENSG00000134853,0.756775,0.0,0.0,0.75,0.0,0.0,0.0271,0.0,platelet derived growth factor receptor alpha
TTC34,ENSG00000215912,0.7507026692231497,0.7507026692231497,0.0,0.0,0.0,0.0,0.0,0.0,tetratricopeptide repeat domain 34
GABRA5,ENSG00000186297,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit alpha5
GABRG3,ENSG00000182256,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit gamma3
GABRG1,ENSG00000163285,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit gamma1
GABRA2,ENSG00000151834,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit alpha2
GABRG2,ENSG00000113327,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit gamma2
FGFR3,ENSG00000068078,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,fibroblast growth factor receptor 3
GABRA1,ENSG00000022355,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit alpha1
GABRA3,ENSG00000011677,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,gamma-aminobutyric acid type A receptor subunit alpha3
RREB1,ENSG00000124782,0.7370832562446594,0.7370832562446594,0.0,0.0,0.0,0.0,0.0,0.0,ras responsive element binding protein 1
ZFP36L2,ENSG00000152518,0.730086624622345,0.730086624622345,0.0,0.0,0.0,0.0,0.0,0.0,ZFP36 ring finger protein like 2
BAK1,ENSG00000030110,0.7294654245259861,0.7232654245259861,0.0,0.0,0.0,0.0,0.024800000000000003,0.0,BCL2 antagonist/killer 1
HHEX,ENSG00000152804,0.7292450070381165,0.7292450070381165,0.0,0.0,0.0,0.0,0.0,0.0,hematopoietically expressed homeobox
MPV17L2,ENSG00000254858,0.7258663550019264,0.7258663550019264,0.0,0.0,0.0,0.0,0.0,0.0,MPV17 mitochondrial inner membrane protein like 2
SNAP25,ENSG00000132639,0.706,0.0,0.0,0.7,0.0,0.0,0.024,0.0,synaptosome associated protein 25
CLEC16A,ENSG00000038532,0.7053590973849181,0.6882914304733276,0.0,0.0,0.0,0.0,0.06827066764636176,0.0,C-type lectin domain containing 16A
HLA-A,ENSG00000206503,0.7029611880906261,0.6909297108650208,0.0,0.0,0.0,0.0,0.04812590890242145,0.0,"major histocompatibility complex, class I, A"
ADORA3,ENSG00000282608,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,adenosine A3 receptor
ADORA2B,ENSG00000170425,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,adenosine A2b receptor
VKORC1,ENSG00000167397,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,vitamin K epoxide reductase complex subunit 1
ADORA1,ENSG00000163485,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,adenosine A1 receptor
ADORA2A,ENSG00000128271,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,adenosine A2a receptor
OPRD1,ENSG00000116329,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,opioid receptor delta 1
OPRK1,ENSG00000082556,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,opioid receptor kappa 1
REL,ENSG00000162924,0.6985375881195068,0.6985375881195068,0.0,0.0,0.0,0.0,0.0,0.0,"REL proto-oncogene, NF-kB subunit"
INAVA,ENSG00000163362,0.6853721141815186,0.6853721141815186,0.0,0.0,0.0,0.0,0.0,0.0,innate immunity activator
SP140,ENSG00000079263,0.6765800830311245,0.6658939719200134,0.0,0.0,0.0,0.0,0.042744444444444446,0.0,SP140 nuclear body protein
EXTL2,ENSG00000162694,0.644065797328949,0.644065797328949,0.0,0.0,0.0,0.0,0.0,0.0,exostosin like glycosyltransferase 2
RGS14,ENSG00000169220,0.6375474333763123,0.6375474333763123,0.0,0.0,0.0,0.0,0.0,0.0,regulator of G protein signaling 14
CLECL1,ENSG00000184293,0.6370095610618591,0.6370095610618591,0.0,0.0,0.0,0.0,0.0,0.0,C-type lectin like 1
MLANA,ENSG00000120215,0.63614297285676,0.63614297285676,0.0,0.0,0.0,0.0,0.0,0.0,melan-A
TUBD1,ENSG00000108423,0.6291323266923428,0.6291323266923428,0.0,0.0,0.0,0.0,0.0,0.0,tubulin delta 1
RBM17,ENSG00000134453,0.628741018474102,0.628741018474102,0.0,0.0,0.0,0.0,0.0,0.0,RNA binding motif protein 17
NADSYN1,ENSG00000172890,0.6089699864387512,0.6089699864387512,0.0,0.0,0.0,0.0,0.0,0.0,NAD synthetase 1
VMP1,ENSG00000062716,0.6077138835357295,0.6077138835357295,0.0,0.0,0.0,0.0,0.0,0.0,vacuole membrane protein 1
ZFP36L1,ENSG00000185650,0.6015514876530523,0.6015514876530523,0.0,0.0,0.0,0.0,0.0,0.0,ZFP36 ring finger protein like 1
TSBP1,ENSG00000204296,0.5949425288231862,0.5885272081770682,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,testis expressed basic protein 1
POU5F1B,ENSG00000212993,0.5809490084648132,0.5809490084648132,0.0,0.0,0.0,0.0,0.0,0.0,POU class 5 homeobox 1B
SYT14,ENSG00000143469,0.5750675201416016,0.5750675201416016,0.0,0.0,0.0,0.0,0.0,0.0,synaptotagmin 14
ZSCAN23,ENSG00000187987,0.5671440682684382,0.5671440682684382,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger and SCAN domain containing 23
RPS6KB1,ENSG00000108443,0.5586078426910771,0.5494578426910771,0.0,0.0,0.0,0.0,0.0366,0.0,ribosomal protein S6 kinase B1
EPS15L1,ENSG00000127527,0.5543427467346191,0.5543427467346191,0.0,0.0,0.0,0.0,0.0,0.0,epidermal growth factor receptor pathway substrate 15 like 1
SLC44A2,ENSG00000129353,0.5447200536727905,0.5447200536727905,0.0,0.0,0.0,0.0,0.0,0.0,solute carrier family 44 member 2
BCL10,ENSG00000142867,0.5323103666305542,0.5323103666305542,0.0,0.0,0.0,0.0,0.0,0.0,BCL10 immune signaling adaptor
IFI30,ENSG00000216490,0.5249595625579357,0.5171595625579357,0.0,0.0,0.0,0.0,0.031200000000000002,0.0,IFI30 lysosomal thiol reductase
TTC33,ENSG00000113638,0.5224190147386657,0.5224190147386657,0.0,0.0,0.0,0.0,0.0,0.0,tetratricopeptide repeat domain 33
KCNRG,ENSG00000198553,0.5211329114519887,0.5211329114519887,0.0,0.0,0.0,0.0,0.0,0.0,potassium channel regulator
IQCB1,ENSG00000173226,0.5189076382666826,0.5189076382666826,0.0,0.0,0.0,0.0,0.0,0.0,IQ motif containing B1
